title,year,genre,runtime,rating,synopsis,director,vote
"Get Paid, Get Laid & Get Lucky",(2019),"
Crime, Drama, Romance            ",86 min,7.0,"
    A young man,driven only by his dreams,will do whatever it takes to have them realised. Even if that means following the webs of his city's criminals. Caught between love and pride,honesty and deception and a clock that's running out.",Goran Pavisic,65
Izzy Got the Frizzies,(2019),"
Animation, Action, Adventure            ",,4.8,"
    Whether you have naturally frizzy hair or hair that misbehaves no matter how hard you try to tame it with straighteners, this simple hack will work wonders for you.",Ki-duk Kim,11
Blakus,(2019),"
Comedy, Drama, Romance            ",80 min,7.1,"
    Louise and Kaspars meet on a trip to celebrate Midsummer's Eve. They're both running away from their lives; they're young, talented, and lost, and the trip turns into a shared journey through a relationship over the course of 3 years.",Alise Zarina,312
DNA,(I) (2019),"
Drama            ",126 min,7.8,"
    A woman with a genetic disease, decides to undergo a biological experiment to produce a healthy baby with her DNA. Little does she know, becoming a parent is far more than just carrying your DNA to the baby.",Ashay Javadekar,8
Matar a un Muerto,(2019),"
Thriller            ",87 min,7.6,"
    In 1978, Paraguay lives a dictatorship and, clandestinely, two men bury corpses. But one day they find a man who is still breathing. They have to kill him, but they never killed anyone before.",Hugo Giménez,8
Adho Andha Paravai Pola,(2019),"
Action, Thriller            ",,7.3,"
    A kind of Forest survival story of a women and 2 kids against some antagonists.",K.R. Vinoth,7
All Joking Aside,(2019),"
Drama            ",,7.4,"
    A young woman in New York City pursues her dream of becoming a stand up comic.",Shannon Kohli,5
Prescription for Love,(2019),"
Drama, Romance            ",89 min,6.2,"
    Claire's a nurse with a supervisor who is intent on making her miserable. On a rare night off, she gets trapped in an elevator with a charming man. The next day she is introduced to him again but he does not recognize her.",Brian Brough,365
A Second Chance,(II) (2019),"
Romance            ",93 min,5.6,"
    When best friends Daniella and Cheyann both start to have feelings for Cheyann's best guy friend Darius something unexpected happens. Faced with the possibility of losing Darius makes ...                See full summary »
",Grayson Stroud,14
Speak Love,(2019),"
Drama            ",80 min,5.6,"
    -A young girl, Liliane, leaves her empty house. She meets Maya, who's just a bit older. They bond, flee, fight, exchange passionate declarations - The dialogue is destabilizing and ...                See full summary »
",Emmanuel Gendron-Tardif,5
Intentional Sweat,(2019),"
Comedy            ",107 min,4.0,"
    In the aftermath of some catastrophic event, a group of six men and women are all that survive. Each must find their soul mate within the group to ensure the continuance of the species.",Chrystele Nicot,10
Trevor Martin 006.5,(2019),"
Action, Comedy, Thriller            ",69 min,4.2,"
Add a Plot
",Leon Corbin,5
Lockdown,(IV) (2019),"
Action            ",,6.3,"
    Chaos reigns in Los Angeles when three criminals, led by a psychotic mastermind named McMasters, takes over a police station and threaten to kill everyone in it unless a large ransom is ...                See full summary »
",Massimiliano Cerchi,11
A Casa,(2019),"
Crime, Drama, Fantasy            ",85 min,5.6,"
    Nanu is an itinerant mime who makes a living from acting in inland villages. In one of his street performances a woman loses her mobile phone and Nanu takes it. Due to this, he gets ...                See full summary »
",Raül Busquets,5
Tzantza,(2019),"
Action, Crime            ",87 min,7.2,"
    A man captures the souls of the dead and sells them to collectors at the black market.",Amilcar Javier Jácome,6
Borderline,(I) (2019),"
Biography, Drama, Romance            ",115 min,6.6,"
    Craving that girl she was never able to replace and seeking inspiration in her presence, or absence, or rather fantasy, a troubled writer embarks on a stormy journey of love, passion and potentially perdition.",Anna Alfieri,16
All the Little Things We Kill,(2019),"
Drama            ",,5.7,"
    A college professor takes her students hostage to force the passage of a bill that bans semi-automatic weapons.",Adam Neutzsky-Wulff,11
